"id","CTLabel","BoroName","BoroCode","CT2010","BoroCT2010","CDEligibil","NTACode","NTAName"
"1","9","Staten Island","5","000900","5000900","I","SI22","West New Brighton-New Brighton-St. George"
"10","32","Manhattan","1","003200","1003200","I","MN22","East Village"
"100","182","Brooklyn","3","018200","3018200","E","BK28","Bensonhurst West"
"1000","1215","Queens","4","121500","4121500","E","QN62","Queensboro Hill"
"1001","1223","Queens","4","122300","4122300","I","QN38","Pomonok-Flushing Heights-Hillcrest"
"1002","1341","Queens","4","134100","4134100","I","QN41","Fresh Meadows-Utopia"
"1003","1417","Queens","4","141700","4141700","I","QN48","Auburndale"
"1004","471","Queens","4","047100","4047100","E","QN29","Elmhurst"
"1005","485","Queens","4","048500","4048500","E","QN50","Elmhurst-Maspeth"
"1006","360.02","Brooklyn","3","036002","3036002","E","BK19","Brighton Beach"
"1007","610.02","Brooklyn","3","061002","3061002","I","BK19","Brighton Beach"
"1008","852","Brooklyn","3","085200","3085200","I","BK99","park-cemetery-etc-Brooklyn"
"1009","858","Brooklyn","3","085800","3085800","E","BK91","East Flatbush-Farragut"
"101","184","Brooklyn","3","018400","3018400","E","BK28","Bensonhurst West"
"1010","1190","Brooklyn","3","119000","3119000","E","BK83","Cypress Hills-City Line"
"1011","1196","Brooklyn","3","119600","3119600","E","BK82","East New York"
"1012","509","Brooklyn","3","050900","3050900","E","BK72","Williamsburg"
"1013","561","Brooklyn","3","056100","3056100","I","BK76","Greenpoint"
"1014","365.01","Bronx","2","036501","2036501","E","BX17","East Tremont"
"1015","224.01","Bronx","2","022401","2022401","E","BX49","Pelham Parkway"
"1016","332.01","Bronx","2","033201","2033201","I","BX07","Bronxdale"
"1017","152","Queens","4","015200","4015200","I","QN54","Richmond Hill"
"1018","206","Queens","4","020600","4020600","E","QN61","Jamaica"
"1019","472","Queens","4","047200","4047200","I","QN06","Jamaica Estates-Holliswood"
"102","186","Brooklyn","3","018600","3018600","I","BK28","Bensonhurst West"
"1020","476","Queens","4","047600","4047600","I","QN06","Jamaica Estates-Holliswood"
"1021","726","Brooklyn","3","072600","3072600","I","BK58","Flatlands"
"1022","932","Brooklyn","3","093200","3093200","I","BK91","East Flatbush-Farragut"
"1023","590","Queens","4","059000","4059000","I","QN33","Cambria Heights"
"1024","72","Bronx","2","007200","2007200","E","BX55","Soundview-Bruckner"
"1025","42","Bronx","2","004200","2004200","E","BX09","Soundview-Castle Hill-Clason Point-Harding Park"
"1026","47","Queens","4","004700","4004700","E","QN70","Astoria"
"1027","908","Brooklyn","3","090800","3090800","E","BK81","Brownsville"
"1028","1144","Brooklyn","3","114400","3114400","E","BK85","East New York (Pennsylvania Ave)"
"1029","371","Bronx","2","037100","2037100","E","BX17","East Tremont"
"103","188","Brooklyn","3","018800","3018800","I","BK28","Bensonhurst West"
"1030","393","Bronx","2","039300","2039300","E","BX06","Belmont"
"1031","114.02","Staten Island","5","011402","5011402","I","SI45","New Dorp-Midland Beach"
"1032","230","Manhattan","1","023000","1023000","E","MN03","Central Harlem North-Polo Grounds"
"1033","1118","Brooklyn","3","111800","3111800","E","BK82","East New York"
"1034","919","Queens","4","091900","4091900","I","QN23","College Point"
"1035","925","Queens","4","092500","4092500","E","QN23","College Point"
"1036","15.02","Manhattan","1","001502","1001502","I","MN25","Battery Park City-Lower Manhattan"
"1037","622","Brooklyn","3","062200","3062200","I","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"1038","766","Brooklyn","3","076600","3076600","E","BK42","Flatbush"
"1039","772","Brooklyn","3","077200","3077200","E","BK42","Flatbush"
"104","190","Brooklyn","3","019000","3019000","E","BK28","Bensonhurst West"
"1040","17","Staten Island","5","001700","5001700","E","SI37","Stapleton-Rosebank"
"1041","120","Manhattan","1","012000","1012000","I","MN40","Upper East Side-Carnegie Hill"
"1042","128","Manhattan","1","012800","1012800","I","MN40","Upper East Side-Carnegie Hill"
"1043","477","Brooklyn","3","047700","3047700","E","BK90","East Williamsburg"
"1044","497","Brooklyn","3","049700","3049700","E","BK90","East Williamsburg"
"1045","559","Queens","4","055900","4055900","E","QN20","Ridgewood"
"1046","403","Brooklyn","3","040300","3040300","E","BK78","Bushwick South"
"1047","407","Brooklyn","3","040700","3040700","I","BK99","park-cemetery-etc-Brooklyn"
"1048","527","Brooklyn","3","052700","3052700","E","BK73","North Side-South Side"
"1049","529","Brooklyn","3","052900","3052900","E","BK72","Williamsburg"
"105","192","Brooklyn","3","019200","3019200","E","BK88","Borough Park"
"1050","25","Manhattan","1","002500","1002500","E","MN27","Chinatown"
"1051","513","Brooklyn","3","051300","3051300","E","BK73","North Side-South Side"
"1052","942.01","Queens","4","094201","4094201","E","QN10","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"1053","942.03","Queens","4","094203","4094203","I","QN12","Hammels-Arverne-Edgemere"
"1054","456","Queens","4","045600","4045600","I","QN35","Briarwood-Jamaica Hills"
"1055","211","Bronx","2","021100","2021100","E","BX26","Highbridge"
"1056","505","Queens","4","050500","4050500","I","QN21","Middle Village"
"1057","507","Queens","4","050700","4050700","I","QN21","Middle Village"
"1058","213.01","Bronx","2","021301","2021301","E","BX36","University Heights-Morris Heights"
"1059","217","Bronx","2","021700","2021700","E","BX36","University Heights-Morris Heights"
"106","194","Brooklyn","3","019400","3019400","E","BK30","Dyker Heights"
"1060","228","Bronx","2","022800","2022800","E","BX49","Pelham Parkway"
"1061","230","Bronx","2","023000","2023000","E","BX37","Van Nest-Morris Park-Westchester Square"
"1062","277","Bronx","2","027700","2027700","E","BX28","Van Cortlandt Village"
"1063","273","Bronx","2","027300","2027300","E","BX28","Van Cortlandt Village"
"1064","420","Bronx","2","042000","2042000","E","BX44","Williamsbridge-Olinville"
"1065","408","Bronx","2","040800","2040800","E","BX44","Williamsbridge-Olinville"
"1066","376","Bronx","2","037600","2037600","E","BX44","Williamsbridge-Olinville"
"1067","213.02","Bronx","2","021302","2021302","E","BX26","Highbridge"
"1068","319","Manhattan","1","031900","1031900","I","MN99","park-cemetery-etc-Manhattan"
"1069","255","Brooklyn","3","025500","3025500","E","BK75","Bedford"
"107","195","Brooklyn","3","019500","3019500","E","BK69","Clinton Hill"
"1070","257","Brooklyn","3","025700","3025700","E","BK75","Bedford"
"1071","37","Queens","4","003700","4003700","E","QN68","Queensbridge-Ravenswood-Long Island City"
"1072","29.01","Brooklyn","3","002901","3002901","E","BK68","Fort Greene"
"1073","1571.01","Queens","4","157101","4157101","I","QN43","Bellerose"
"1074","76","Bronx","2","007600","2007600","E","BX08","West Farms-Bronx River"
"1075","267.01","Bronx","2","026701","2026701","E","BX28","Van Cortlandt Village"
"1076","48","Manhattan","1","004800","1004800","I","MN21","Gramercy"
"1077","277.06","Staten Island","5","027706","5027706","I","SI24","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill"
"1078","633.01","Queens","4","063301","4063301","I","QN19","Glendale"
"1079","633.02","Queens","4","063302","4063302","I","QN19","Glendale"
"108","196","Brooklyn","3","019600","3019600","E","BK30","Dyker Heights"
"1080","244","Bronx","2","024400","2024400","I","BX37","Van Nest-Morris Park-Westchester Square"
"1081","378","Bronx","2","037800","2037800","E","BX44","Williamsbridge-Olinville"
"1082","855","Queens","4","085500","4085500","E","QN22","Flushing"
"1083","863","Queens","4","086300","4086300","E","QN51","Murray Hill"
"1084","865","Queens","4","086500","4086500","E","QN22","Flushing"
"1085","1163","Queens","4","116300","4116300","E","QN51","Murray Hill"
"1086","1047","Queens","4","104700","4104700","I","QN51","Murray Hill"
"1087","1159","Queens","4","115900","4115900","I","QN51","Murray Hill"
"1088","363","Bronx","2","036300","2036300","E","BX17","East Tremont"
"1089","173","Staten Island","5","017300","5017300","E","SI05","New Springville-Bloomfield-Travis"
"109","197","Brooklyn","3","019700","3019700","I","BK69","Clinton Hill"
"1090","225","Bronx","2","022500","2022500","E","BX14","East Concourse-Concourse Village"
"1091","227.03","Bronx","2","022703","2022703","E","BX41","Mount Hope"
"1092","209","Bronx","2","020900","2020900","E","BX63","West Concourse"
"1093","227.02","Bronx","2","022702","2022702","E","BX41","Mount Hope"
"1094","199","Bronx","2","019900","2019900","E","BX26","Highbridge"
"1095","170.09","Staten Island","5","017009","5017009","I","SI48","Arden Heights"
"1096","160.02","Manhattan","1","016002","1016002","I","MN33","East Harlem South"
"1097","357","Queens","4","035700","4035700","I","QN27","East Elmhurst"
"1098","150.02","Manhattan","1","015002","1015002","I","MN40","Upper East Side-Carnegie Hill"
"1099","150.01","Manhattan","1","015001","1015001","I","MN40","Upper East Side-Carnegie Hill"
"11","68","Manhattan","1","006800","1006800","I","MN21","Gramercy"
"110","198","Brooklyn","3","019800","3019800","E","BK30","Dyker Heights"
