"year","month","day","hour","temperature","precipitation","windspeed"
2009,1,1,0,18,0,18.4
2009,1,1,1,18,0,18.4
2009,1,1,2,18,0,18.4
2009,1,1,3,17.1,0,8.1
2009,1,1,4,17.1,0,11.5
2009,1,1,5,16,0,18.4
2009,1,1,6,15.1,0,13.8
2009,1,1,7,15.1,0,8.1
2009,1,1,8,15.1,0,15
2009,1,1,9,17.1,0,8.1
2009,1,1,10,19,0,13.8
2009,1,1,11,21,0,13.8
2009,1,1,12,23,0,11.5
2009,1,1,13,25,0,13.8
2009,1,1,14,25,0,13.8
2009,1,1,15,25,0,4.6
2009,1,1,16,25,0,8.1
2009,1,1,17,24.1,0,4.6
2009,1,1,18,24.1,0,10.4
2009,1,1,19,23,0,11.5
2009,1,1,20,23,0,8.1
2009,1,1,21,21.9,0,6.9
2009,1,1,22,23,0,4.6
2009,1,1,23,23,0,3.5
2009,1,2,0,24.1,0,3.5
2009,1,2,1,25,0,NA
2009,1,2,2,25,0,3.5
2009,1,2,3,27,0,3.5
2009,1,2,4,27,0,3.5
2009,1,2,5,28,0,5.8
2009,1,2,6,30,0,3.5
2009,1,2,7,32,0,8.1
2009,1,2,8,33.1,0,5.8
2009,1,2,9,33.1,0,16.1
2009,1,2,10,33.1,0,9.2
2009,1,2,11,33.1,0,10.4
2009,1,2,12,32,0,12.65
2009,1,2,13,31.725,0,8.925
2009,1,2,14,31.4,0,7.7
2009,1,2,15,32,0,6.9
2009,1,2,16,33.1,0,6.9
2009,1,2,17,32,0,5.8
2009,1,2,18,32,0,NA
2009,1,2,19,33.1,0,4.6
2009,1,2,20,33.1,0,6.9
2009,1,2,21,34,0,8.1
2009,1,2,22,33.1,0,5.8
2009,1,2,23,33.1,0,6.9
2009,1,3,0,32,0,8.1
2009,1,3,1,32,0,6.9
2009,1,3,2,30.9,0,8.1
2009,1,3,3,32,0,8.1
2009,1,3,4,30.9,0,5.8
2009,1,3,5,30.9,0,10.4
2009,1,3,6,30.9,0,10.4
2009,1,3,7,30.9,0,8.1
2009,1,3,8,30.9,0,8.1
2009,1,3,9,33.1,0,10.4
2009,1,3,10,35.1,0,10.4
2009,1,3,11,37,0,13.8
2009,1,3,12,37,0,15
2009,1,3,13,37.9,0,8.1
2009,1,3,14,37,0,12.7
2009,1,3,15,36,0,10.4
2009,1,3,16,35.1,0,9.2
2009,1,3,17,34,0,11.5
2009,1,3,18,33.1,0,6.9
2009,1,3,19,33.1,0,9.2
2009,1,3,20,32,0,11.5
2009,1,3,21,30.9,0,10.4
2009,1,3,22,30,0,12.7
2009,1,3,23,28.9,0,13.8
2009,1,4,0,28,0,10.4
2009,1,4,1,27,0,8.1
2009,1,4,2,26.1,0,9.2
2009,1,4,3,26.1,0,8.1
2009,1,4,4,26.1,0,8.1
2009,1,4,5,25,0,3.5
2009,1,4,6,25,0,5.8
2009,1,4,7,25,0,9.2
2009,1,4,8,26.1,0,8.1
2009,1,4,9,28,0,10.4
2009,1,4,10,30.9,0,10.4
2009,1,4,11,34,0,9.2
2009,1,4,12,37.9,0,5.8
2009,1,4,13,39.9,0,10.4
2009,1,4,14,41,0,8.1
2009,1,4,15,41,0,4.6
2009,1,4,16,39.9,0,5.8
2009,1,4,17,39.9,0,5.8
2009,1,4,18,39.9,0,3.5
2009,1,4,19,39,0,5.8
2009,1,4,20,37.9,0,3.5
2009,1,4,21,39.9,0,8.1
2009,1,4,22,39.55,0,9.2
