year,month,day,time,temperature,precipitation,windspeed
2009,2,23,2009-02-23 3:51 AM,27.0,,11.5
2009,2,23,2009-02-23 4:51 AM,27.0,,16.1
2009,2,23,2009-02-23 5:51 AM,27.0,,9.2
2009,2,23,2009-02-23 6:51 AM,27.0,,11.5
2009,2,23,2009-02-23 7:51 AM,27.0,,6.9
2009,2,23,2009-02-23 8:51 AM,28.9,,10.4
2009,2,23,2009-02-23 9:51 AM,30.0,,15.0
2009,2,23,2009-02-23 10:51 AM,30.9,,11.5
2009,2,23,2009-02-23 11:51 AM,30.9,,16.1
2009,2,23,2009-02-23 12:51 PM,32.0,,12.7
2009,2,23,2009-02-23 1:51 PM,33.1,,17.3
2009,2,23,2009-02-23 2:51 PM,33.1,,17.3
2009,2,23,2009-02-23 3:51 PM,32.0,,18.4
2009,2,23,2009-02-23 4:51 PM,30.9,,12.7
2009,2,23,2009-02-23 5:51 PM,30.0,,11.5
2009,2,23,2009-02-23 6:51 PM,28.9,,15.0
2009,2,23,2009-02-23 7:51 PM,27.0,,21.9
2009,2,23,2009-02-23 8:51 PM,25.0,,17.3
2009,2,23,2009-02-23 9:51 PM,25.0,,12.7
2009,2,23,2009-02-23 10:51 PM,24.1,,9.2
2009,2,23,2009-02-23 11:51 PM,24.1,,13.8
